91.92	127680000000000000000.00
91.85	126000000000000000000.00
91.77	124430000000000000000.00
91.70	122570000000000000000.00
91.63	120380000000000000000.00
91.56	118640000000000000000.00
91.49	116660000000000000000.00
91.43	113890000000000000000.00
91.36	112070000000000000000.00
91.30	109960000000000000000.00
91.24	107990000000000000000.00
91.18	106640000000000000000.00
91.12	104270000000000000000.00
91.07	102720000000000000000.00
91.01	100700000000000000000.00
90.95	99276000000000000000.00
90.89	96837000000000000000.00
90.84	95057000000000000000.00
90.78	93332000000000000000.00
90.56	86339000000000000000.00
90.50	84608000000000000000.00
90.45	82113000000000000000.00
90.40	81113000000000000000.00
90.34	79447000000000000000.00
90.29	77939000000000000000.00
90.24	76118000000000000000.00
90.19	74735000000000000000.00
90.14	72936000000000000000.00
90.08	71644000000000000000.00
90.03	69712000000000000000.00
89.98	68491000000000000000.00
89.93	66988000000000000000.00
89.88	65238000000000000000.00
89.83	63853000000000000000.00
89.78	62373000000000000000.00
89.74	60952000000000000000.00
89.69	59477000000000000000.00
89.64	58236000000000000000.00
89.59	56826000000000000000.00
89.41	51383000000000000000.00
87.27	1371800000000000000.00
87.26	1186200000000000000.00
87.25	1542100000000000000.00
87.24	1324500000000000000.00
87.23	786730000000000000.00
87.23	926810000000000000.00
87.22	726720000000000000.00
87.21	349440000000000000.00
87.21	636200000000000000.00
87.20	196510000000000000.00
87.20	-48599000000000000.00
87.20	173460000000000000.00
87.19	-37746000000000000.00
87.19	-38458000000000000.00
87.19	122640000000000000.00
87.18	-247070000000000000.00
87.18	-17621000000000000.00
87.18	-260450000000000000.00
87.18	232120000000000000.00
