78.85	465.82
78.86	465.81
78.88	465.80
78.91	465.78
78.94	465.77
78.98	465.76
79.03	465.75
79.09	465.74
79.16	465.73
79.24	465.71
79.34	465.70
79.44	465.68
79.56	465.67
79.68	465.66
79.80	465.64
79.93	465.63
80.07	465.62
80.21	465.61
80.43	465.59
80.62	465.57
80.82	465.56
81.03	465.54
81.26	465.53
81.48	465.52
81.70	465.50
81.94	465.49
82.19	465.47
82.45	465.46
82.72	465.44
82.99	465.43
83.26	465.41
83.52	465.40
83.78	465.39
84.05	465.37
84.32	465.36
84.59	465.35
84.86	465.34
85.13	465.32
85.40	465.31
85.67	465.30
85.94	465.29
86.21	465.27
86.48	465.26
86.74	465.25
87.00	465.24
87.26	465.23
87.52	465.22
87.78	465.21
88.04	465.19
88.29	465.18
88.54	465.17
88.79	465.16
89.04	465.15
89.29	465.14
89.54	465.13
89.78	465.12
90.02	465.11
90.26	465.10
90.49	465.09
90.74	465.08
90.97	465.07
91.21	465.06
91.44	465.05
91.67	465.04
91.90	465.03
